"chr" "pos" "strand" "Name" "Islands_Name" "Relation_to_Island" "UCSC_RefGene_Name" "UCSC_RefGene_Accession" "UCSC_RefGene_Group" "Regulatory_Feature_Name" "Regulatory_Feature_Group" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"cg04719537" "chr11" 98891797 "-" "cg04719537" "chr11:98891543-98891821" "Island" "CNTN5;CNTN5" "NM_175566;NM_014361" "TSS200;TSS200" "" "" -1.25621265493686 -9.22374130388643 -3.35770979412296 0.00082732912423938 0.0151737310448176 -0.858931596452997
"cg24686901" "chr15" 59225454 "+" "cg24686901" "chr15:59225272-59226300" "Island" "SLTM;SLTM" "NM_001013843;NM_024755" "Body;Body" "15:59225018-59226807" "Promoter_Associated" -0.954650619669907 -8.38528825660305 -3.35437663664492 0.000837203430822797 0.015298624376074 -0.869556980700517
"cg11535486" "chr10" 99258388 "-" "cg11535486" "chr10:99257940-99259520" "Island" "UBTD1;MMS19" "NM_024954;NM_022362" "TSS1500;TSS200" "10:99258025-99258792" "Promoter_Associated" -1.29419034392764 -9.70780177461412 -3.34860426513899 0.000854563327012937 0.0155213829112419 -0.887933885455704
"cg17912633" "chr13" 41239612 "+" "cg17912633" "chr13:41238500-41241750" "Island" "FOXO1" "NM_002015" "Body" "" "" -1.14744681648059 -8.69998484032496 -3.34779779421902 0.000857015178429745 0.0155550056914461 -0.89049892428176
"cg10903826" "chr4" 1242276 "+" "cg10903826" "chr4:1241412-1244111" "Island" "CTBP1;CTBP1" "NM_001328;NM_001012614" "Body;5'UTR" "4:1241716-1243451" "Promoter_Associated" -1.01437506296107 -8.1731767238007 -3.34449208824786 0.000867133734896443 0.0156726460702816 -0.901006709022617
"cg15904821" "chr3" 141206028 "-" "cg15904821" "chr3:141205983-141206760" "Island" "RASA2" "NM_006506" "1stExon" "3:141205937-141206108" "Promoter_Associated" -1.14859358985017 -9.3074053761871 -3.34225390384113 0.000874047577277844 0.0157626443889559 -0.908115476911534
"cg16815379" "chr1" 165797173 "-" "cg16815379" "chr1:165796653-165797683" "Island" "UCK2" "NM_012474" "Body" "1:165796512-165798475" "Promoter_Associated" -1.19365952871681 -9.61430717577845 -3.33938104810234 0.000882997010365998 0.0158832508594241 -0.917233291239532
"cg17140797" "chr19" 15529788 "+" "cg17140797" "chr19:15529290-15529902" "Island" "AKAP8L;AKAP8L" "NM_014371;NM_014371" "5'UTR;1stExon" "19:15529161-15530745" "Promoter_Associated" -1.28055276620988 -10.0626918067797 -3.33844277847453 0.000885938271370457 0.0159181900169877 -0.920209508643101
"cg21497057" "chr2" 219433137 "+" "cg21497057" "chr2:219432767-219434061" "Island" "RQCD1;USP37" "NM_005444;NM_020935" "TSS1500;TSS200" "2:219433030-219433719" "Unclassified" -1.32835548029018 -10.3116795104369 -3.3363623933203 0.000892492294731308 0.0160041825101405 -0.926805659705608
"cg01692340" "chr7" 100318319 "+" "cg01692340" "chr7:100318106-100318684" "Island" "EPO" "NM_000799" "TSS200" "7:100318090-100318429" "Unclassified_Cell_type_specific" -1.28140986577796 -9.72476253485071 -3.33014133254236 0.000912360734032946 0.0162631715717636 -0.946506643030926
"cg03427120" "chr20" 47662890 "-" "cg03427120" "chr20:47662732-47663449" "Island" "CSE1L;CSE1L" "NM_001316;NM_001316" "1stExon;5'UTR" "20:47662151-47663887" "Promoter_Associated" -1.25368950339337 -10.556172357785 -3.3298612492774 0.000913264836701679 0.0162722869005383 -0.947392778789041
"cg07113065" "chr1" 226595494 "+" "cg07113065" "chr1:226595333-226595939" "Island" "PARP1" "NM_001618" "Body" "1:226595371-226596168" "Promoter_Associated" -1.2397941634198 -10.3150169625268 -3.32894035717708 0.000916243324440558 0.0162994223238775 -0.950305815747406
"cg18622954" "chr6" 8064749 "-" "cg18622954" "chr6:8064046-8064765" "Island" "MUTED" "NM_201280" "TSS200" "6:8063910-8065273" "Promoter_Associated" -1.37447506602614 -9.68575769627323 -3.32865575966344 0.000917165635559212 0.0163095274368307 -0.951205918717656
"cg25824897" "chr17" 73452535 "+" "cg25824897" "chr17:73452534-73452898" "Island" "KIAA0195" "NM_014738" "TSS200" "17:73452168-73453523" "Promoter_Associated" -1.33176244360038 -11.0499838982527 -3.32817594340105 0.000918722555263999 0.0163309053365738 -0.952723275670234
"cg09889291" "chr12" 52400650 "+" "cg09889291" "chr12:52400467-52401696" "Island" "GRASP" "NM_181711" "TSS200" "12:52400554-52400797" "Unclassified" -1.10278235574585 -8.15864905387955 -3.32781414484314 0.000919898150744986 0.0163475942737561 -0.953867276777313
"cg05966983" "chr1" 36772666 "-" "cg05966983" "chr1:36771830-36773009" "Island" "C1orf113;C1orf113" "NM_024676;NM_001162530" "TSS200;Body" "1:36772408-36772859" "Promoter_Associated" -1.05920094663217 -8.47961031438465 -3.32011510648574 0.000945248240140741 0.0166608899086329 -0.978182953147173
"cg18375494" "chr11" 134146324 "-" "cg18375494" "chr11:134145559-134147180" "Island" "GLB1L3;GLB1L3" "NM_001080407;NM_001080407" "5'UTR;1stExon" "11:134145462-134146359" "Promoter_Associated" -0.920812197300015 -8.34409880710838 -3.31971904013006 0.000946569717011843 0.0166785060837197 -0.97943236398865
"cg26853628" "chr3" 137834231 "+" "cg26853628" "chr3:137833848-137834592" "Island" "DZIP1L;DZIP1L" "NM_173543;NM_173543" "5'UTR;1stExon" "" "" -1.27013436810341 -8.4897944249852 -3.31957216723328 0.000947060194714385 0.01668431020267 -0.979895645082164
"cg01963056" "chr8" 144911482 "-" "cg01963056" "chr8:144911055-144912075" "Island" "PUF60;PUF60;PUF60;PUF60;PUF60" "NM_078480;NM_014281;NM_014281;NM_078480;NM_001136033" "5'UTR;5'UTR;1stExon;1stExon;TSS1500" "8:144911362-144911846" "Promoter_Associated" -0.924265577900995 -8.82941777272983 -3.31894572690432 0.000949154823843896 0.0167089155621404 -0.98187140250382
"cg22176566" "chr1" 43424700 "+" "cg22176566" "chr1:43423467-43424768" "Island" "SLC2A1;SLC2A1" "NM_006516;NM_006516" "1stExon;5'UTR" "1:43424475-43424848" "Promoter_Associated" -1.19357484823188 -9.63572625633861 -3.31523739518832 0.00096164270753067 0.0168602026040667 -0.993559873083033
"cg05062612" "chr12" 108523409 "+" "cg05062612" "chr12:108522950-108523852" "Island" "WSCD2" "NM_014653" "TSS200" "" "" -0.512346797073849 -6.53081412574586 -3.31491741868942 0.000962727350714346 0.016874221050109 -0.994567829269871
"cg25415877" "chr5" 102455952 "-" "cg25415877" "chr5:102455553-102455990" "Island" "GIN1" "NM_017676" "TSS200" "5:102455334-102456510" "Promoter_Associated" -1.27143193056599 -11.1140021306243 -3.31342784476625 0.000967791609099648 0.0169364757886925 -0.999258887112154
"cg14835062" "chr12" 6809889 "-" "cg14835062" "chr12:6809214-6809816" "S_Shore" "C12orf53" "NM_153685" "TSS200" "12:6808881-6810555" "Unclassified" -1.29264377105987 -11.0500096372742 -3.31312183311269 0.000968835044939777 0.0169504404473876 -1.00022234492108
"cg06937024" "chr6" 35695489 "-" "cg06937024" "chr6:35695725-35696156" "N_Shore" "FKBP5;LOC285847" "NM_001145775;NR_027117" "5'UTR;Body" "6:35695296-35697254" "Promoter_Associated" -0.852509269895272 -7.66690944403989 -3.31215505320993 0.000972138425958618 0.0169989040068669 -1.00326562222127
"cg07774478" "chr2" 127865245 "+" "cg07774478" "chr2:127863642-127865288" "Island" "BIN1;BIN1;BIN1;BIN1;BIN1;BIN1;BIN1;BIN1;BIN1;BIN1" "NM_004305;NM_139344;NM_139347;NM_139351;NM_139345;NM_139343;NM_139348;NM_139349;NM_139350;NM_139346" "TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500" "" "" -1.35323540770765 -9.94045473636939 -3.30372187448888 0.00100140010867107 0.0173507488869991 -1.02977550427074
"cg22071311" "chr22" 35796050 "-" "cg22071311" "chr22:35795856-35796650" "Island" "MCM5" "NM_006739" "TSS200" "22:35795379-35796686" "Promoter_Associated" -0.709716996257757 -7.10403189509129 -3.3007244048466 0.00101199615682436 0.0174797992109282 -1.03918234099385
"cg03722533" "chr11" 71639418 "+" "cg03722533" "" "OpenSea" "RNF121;LOC100133315;RNF121;RNF121" "NR_024148;NR_029192;NR_024147;NM_018320" "TSS1500;Body;TSS1500;TSS1500" "11:71639013-71640678" "Promoter_Associated" -1.08921623350741 -8.24629306322522 -3.29718174772597 0.00102465350364144 0.0176365802643848 -1.05028944857852
"cg06395091" "chr16" 80574926 "-" "cg06395091" "chr16:80574741-80575090" "Island" "DYNLRB2;DYNLRB2" "NM_130897;NM_130897" "1stExon;5'UTR" "16:80574347-80575174" "Unclassified" -0.989043544442146 -8.39639442593821 -3.29596479711714 0.0010290352454932 0.0176862844970727 -1.05410222285535
"cg10088519" "chr17" 8066240 "-" "cg10088519" "chr17:8065909-8066494" "Island" "VAMP2;VAMP2" "NM_014232;NM_014232" "5'UTR;1stExon" "17:8065937-8066567" "Promoter_Associated" -1.28901207233783 -9.91232888085255 -3.29500163556442 0.00103251550902804 0.0177273179634166 -1.05711889482114
"cg14791831" "chr16" 28565295 "+" "cg14791831" "chr16:28565145-28565753" "Island" "CCDC101;CCDC101" "NM_138414;NM_138414" "1stExon;5'UTR" "16:28564905-28566145" "Promoter_Associated" -1.20571482651555 -10.3400897184871 -3.29408954613405 0.00103582128952208 0.0177690118143317 -1.05997481854376
"cg01595484" "chr19" 1269250 "-" "cg01595484" "chr19:1265854-1269943" "Island" "CIRBP;CIRBP;CIRBP;C19orf23" "NM_001280;NR_023313;NR_023312;NR_027271" "TSS200;TSS200;TSS200;Body" "19:1268717-1270267" "Promoter_Associated" -0.808582628358011 -7.1792902383069 -3.29105326522313 0.00104689684939299 0.0179085880970871 -1.06947646433274
"cg24102726" "chr1" 10855553 "+" "cg24102726" "chr1:10853894-10856964" "Island" "CASZ1;CASZ1" "NM_001079843;NM_017766" "5'UTR;5'UTR" "" "" -1.34153777749254 -11.2075868834549 -3.2894820118746 0.00105267139066439 0.0179858348580679 -1.07439016265641
"cg27446047" "chr18" 44702797 "+" "cg27446047" "chr18:44702571-44702840" "Island" "IER3IP1" "NM_016097" "TSS200" "18:44702074-44703050" "Promoter_Associated" -0.929261938925738 -7.38825723696027 -3.28941768753279 0.00105290841824789 0.017988401107451 -1.07459127234329
"cg14212467" "chr19" 59030979 "+" "cg14212467" "chr19:59030657-59031426" "Island" "ZBTB45" "NM_032792" "TSS200" "19:59030863-59031725" "Promoter_Associated" -0.74203277419131 -6.54601190883992 -3.28801390089084 0.00105809354544531 0.0180494492554239 -1.07897925395681
"cg14985478" "chr1" 86174138 "+" "cg14985478" "chr1:86174041-86174253" "Island" "ZNHIT6;ZNHIT6" "NM_017953;NM_001170670" "TSS200;TSS200" "1:86173347-86174757" "Promoter_Associated" -0.75670325994906 -6.30292169652067 -3.28522253939206 0.00106847432731683 0.0181801229296606 -1.08769914794896
"cg22767321" "chr6" 32143681 "-" "cg22767321" "" "OpenSea" "AGPAT1;AGPAT1;AGPAT1" "NM_006411;NM_006411;NM_032741" "1stExon;5'UTR;5'UTR" "6:32143594-32144407" "Promoter_Associated" -0.932356969761329 -7.60271864706971 -3.2833712152947 0.00107541119509789 0.018267396962057 -1.09347851318112
"cg03727359" "chr7" 5465619 "-" "cg03727359" "chr7:5458503-5469256" "Island" "" "" "" "" "" -1.31273284860958 -10.5919687862675 -3.27893280292579 0.00109221218413962 0.0184634659686299 -1.10732125196868
"cg20067089" "chr7" 100025868 "+" "cg20067089" "chr7:100025804-100028002" "Island" "ZCWPW1" "NM_017984" "5'UTR" "7:100025714-100027642" "Promoter_Associated" -1.16963929446206 -8.72448088520515 -3.27884127994513 0.0010925611775429 0.018467105224774 -1.10760650732617
"cg10107958" "chr1" 228783383 "-" "cg10107958" "chr1:228744110-228784168" "Island" "DUSP5P" "NR_002834" "Body" "1:228783323-228783653" "Promoter_Associated_Cell_type_specific" -1.13334852707241 -6.43152340507379 -3.27807120340144 0.00109550171202267 0.01850623846567 -1.11000634700325
"cg03993166" "chr15" 101817914 "-" "cg03993166" "chr15:101817246-101817915" "Island" "SELS;SELS" "NM_203472;NM_018445" "TSS1500;TSS1500" "15:101816662-101818272" "Promoter_Associated" -1.2691072989341 -10.0144632387236 -3.27592272938971 0.00110374447281703 0.0186060359923389 -1.11669888725787
"cg11531628" "chr1" 27930643 "+" "cg11531628" "chr1:27929705-27930866" "Island" "AHDC1" "NM_001029882" "TSS1500" "1:27930538-27931113" "Promoter_Associated" -0.766797277968217 -6.71832393687985 -3.27448463132082 0.00110929389894354 0.0186737524491518 -1.12117621533763
"cg19964638" "chr5" 175875402 "-" "cg19964638" "chr5:175874629-175875428" "Island" "FAF2;FAF2" "NM_014613;NM_014613" "5'UTR;1stExon" "5:175874154-175876094" "Promoter_Associated" -1.32883265926413 -10.7296907822288 -3.27133861987844 0.00112152419170843 0.0188321978894885 -1.13096426003216
"cg16568530" "chr17" 49231193 "+" "cg16568530" "chr17:49230686-49231247" "Island" "NME1;NME1;NME1-NME2" "NM_198175;NM_000269;NM_001018136" "5'UTR;5'UTR;5'UTR" "17:49230174-49231782" "Promoter_Associated" -1.19112025609076 -11.7939062498708 -3.27107232320973 0.00112256514882435 0.0188435678729426 -1.13179235819183
"cg14929148" "chr8" 145133857 "-" "cg14929148" "chr8:145133199-145134040" "Island" "EXOSC4" "NM_019037" "Body" "" "" -1.14303747633319 -9.20593057032522 -3.27076465689248 0.00112376893492804 0.0188591904943716 -1.13274902145291
"cg17973889" "chr20" 2644865 "+" "cg17973889" "chr20:2644561-2644901" "Island" "IDH3B;IDH3B;IDH3B" "NM_174856;NM_174855;NM_006899" "TSS200;TSS200;TSS200" "20:2644561-2645409" "Promoter_Associated" -1.09158145798584 -9.3020104100983 -3.27015619523998 0.00112615314562583 0.0188868483808892 -1.13464072632298
"cg24843380" "chr5" 178367827 "+" "cg24843380" "chr5:178367620-178368725" "Island" "ZNF454" "NM_182594" "TSS1500" "" "" -1.25783634088822 -9.72253105350411 -3.26986931415761 0.00112727889219256 0.0188958995565507 -1.1355325200972
"cg16990532" "chr10" 72238449 "-" "cg16990532" "chr10:72237661-72238821" "Island" "KIAA1274" "NM_014431" "TSS200" "" "" -1.37971975195418 -6.66736104281223 -3.26853776355673 0.0011325176760143 0.0189538088724819 -1.1396707630182
"cg00293012" "chr15" 31195899 "-" "cg00293012" "chr15:31195673-31196392" "Island" "MTMR15;MTMR15;MTMR15;MTMR15" "NM_014967;NM_001146094;NM_001146096;NM_001146095" "TSS200;TSS200;TSS200;TSS200" "15:31195397-31196735" "Promoter_Associated" -1.09131301933001 -9.18651337797245 -3.26779059968351 0.0011354671481993 0.0189857545146454 -1.14199211112387
"cg00150737" "chr3" 131221845 "+" "cg00150737" "chr3:131221604-131221888" "Island" "MRPL3" "NM_007208" "TSS200" "3:131220733-131222597" "NonGene_Associated" -1.15404352396799 -10.400605012686 -3.26768548326871 0.00113588267176438 0.0189901817794517 -1.14231865386534
"cg23142731" "chr12" 50899018 "-" "cg23142731" "chr12:50898621-50899164" "Island" "DIP2B" "NM_173602" "1stExon" "12:50898345-50900088" "Promoter_Associated" -0.76021432873485 -6.73944136895375 -3.26656706339321 0.00114031249913104 0.0190465652947859 -1.14579237959177
"cg18986330" "chr14" 100772766 "-" "cg18986330" "chr14:100771820-100773673" "Island" "SLC25A29;MIR345;SLC25A29" "NM_001039355;NR_029906;NM_001039355" "1stExon;TSS1500;5'UTR" "14:100772761-100773301" "Promoter_Associated" -0.963897236548361 -9.15427392602599 -3.2663467493284 0.00114118700154001 0.019057596207912 -1.14647652211538
"cg06219926" "chr3" 196669402 "-" "cg06219926" "chr3:196668695-196670054" "Island" "NCBP2;LOC152217;NCBP2;NCBP2;NCBP2" "NM_007362;NR_024388;NM_001042540;NM_007362;NM_001042540" "1stExon;TSS200;5'UTR;5'UTR;1stExon" "3:196668630-196669815" "Promoter_Associated" -0.687499133402377 -7.18631200817204 -3.26356986377709 0.00115226280734421 0.0191888467130311 -1.155095764455
"cg16399312" "chr11" 73882310 "-" "cg16399312" "chr11:73881899-73882572" "Island" "PPME1;C2CD3" "NM_016147;NM_015531" "TSS200;TSS1500" "11:73881447-73882873" "Promoter_Associated" -1.34092377785541 -10.4522245543344 -3.26303918094568 0.00115439077231223 0.0192162662823496 -1.15674215467874
"cg13442960" "chr9" 23821570 "+" "cg13442960" "chr9:23820691-23822135" "Island" "ELAVL2;ELAVL2;ELAVL2" "NM_001171195;NM_004432;NM_001171197" "5'UTR;5'UTR;TSS200" "" "" -0.920327976409363 -7.58125131117664 -3.26117655287063 0.00116188849413165 0.0192972600087806 -1.16251871644399
"cg16717690" "chr1" 1208709 "-" "cg16717690" "chr1:1208515-1209942" "Island" "UBE2J2;UBE2J2;UBE2J2;UBE2J2" "NM_194315;NM_194457;NM_058167;NM_194458" "5'UTR;5'UTR;5'UTR;5'UTR" "1:1208334-1209983" "Promoter_Associated" -1.0486550128316 -8.73927754441782 -3.26068942514869 0.00116385677759609 0.0193198826214632 -1.16402891625398
"cg13550731" "chr2" 172543902 "+" "cg13550731" "chr2:172543901-172544690" "Island" "DYNC1I2" "NM_001378" "TSS200" "2:172543589-172544999" "Promoter_Associated" -1.39881846608514 -10.9446551060283 -3.26011900914508 0.00116616551963802 0.01934735557973 -1.16579704941112
"cg23965022" "chr3" 183892590 "-" "cg23965022" "chr3:183892455-183893184" "Island" "AP2M1;AP2M1" "NM_004068;NM_001025205" "TSS200;TSS200" "3:183891839-183893311" "Promoter_Associated" -1.23020530008798 -8.29104132171353 -3.2586520560084 0.00117212246235794 0.0194150881984549 -1.17034282398131
"cg09595163" "chr3" 55515541 "+" "cg09595163" "chr3:55515152-55515613" "Island" "WNT5A" "NM_003392" "Body" "" "" -0.520853020759542 -6.08914153100972 -3.25722245497083 0.00117795482617881 0.0194844327915343 -1.17477094335389
"cg12508009" "chr2" 242626216 "+" "cg12508009" "chr2:242625961-242626720" "Island" "DTYMK;DTYMK;DTYMK;DTYMK;DTYMK" "NM_001165031;NM_012145;NM_001165031;NR_033255;NM_012145" "5'UTR;5'UTR;1stExon;Body;1stExon" "2:242625537-242627019" "Promoter_Associated" -1.15871181353396 -10.2033031615546 -3.25620765549935 0.00118211121333453 0.019532908688117 -1.17791309151986
"cg04153092" "chr2" 54342806 "+" "cg04153092" "chr2:54342634-54343088" "Island" "ACYP2;ACYP2" "NM_138448;NM_138448" "1stExon;5'UTR" "2:54341995-54343558" "Unclassified" -1.13068028678401 -9.25011692713995 -3.25414742976091 0.00119059122767184 0.0196187798658272 -1.18428929747795
"cg13388333" "chr8" 101962701 "-" "cg13388333" "chr8:101962644-101965427" "Island" "YWHAZ;YWHAZ;YWHAZ;YWHAZ;YWHAZ;YWHAZ;YWHAZ" "NM_001135701;NM_003406;NM_145690;NM_001135700;NM_001135702;NM_001135702;NM_001135699" "5'UTR;5'UTR;5'UTR;5'UTR;1stExon;5'UTR;5'UTR" "8:101962569-101963216" "Promoter_Associated" -0.80300970717378 -7.85591959621136 -3.24873952999805 0.00121311914868098 0.0198714701326337 -1.20100761959192
"cg24384879" "chr11" 47788928 "-" "cg24384879" "chr11:47788200-47789022" "Island" "FNBP4;FNBP4" "NM_015308;NM_015308" "1stExon;5'UTR" "11:47787827-47789438" "Promoter_Associated" -1.11324609572243 -10.8443738405724 -3.24747352241528 0.00121844969830202 0.0199330326863257 -1.20491753907807
"cg24629122" "chr1" 149889330 "-" "cg24629122" "" "OpenSea" "SV2A;SV2A" "NM_014849;NM_014849" "5'UTR;1stExon" "1:149889008-149889514" "Unclassified_Cell_type_specific" -0.879142520755308 -7.63789554614597 -3.24600681399086 0.00122465240657265 0.020003702025249 -1.20944545176761
"cg23491502" "chr4" 110736603 "+" "cg23491502" "chr4:110736868-110737128" "N_Shore" "GAR1;GAR1" "NM_032993;NM_018983" "TSS200;TSS200" "4:110736135-110737662" "Promoter_Associated" -1.1706994007851 -10.1050669908282 -3.24598265167936 0.00122475483320827 0.0200037978676949 -1.20952002723816
"cg27066155" "chr11" 126139048 "-" "cg27066155" "chr11:126138359-126139166" "Island" "FOXRED1;SRPR" "NM_017547;NM_003139" "TSS200;TSS1500" "11:126137994-126139591" "Unclassified" -1.13191922617302 -8.52914431126129 -3.24482682581476 0.00122966377445731 0.0200563024659416 -1.21308678283947
"cg11282895" "chr21" 34914652 "-" "cg11282895" "chr21:34914303-34915906" "Island" "SON;SON;GART;GART;GART;GART" "NM_138927;NM_032195;NM_000819;NM_001136005;NM_001136006;NM_175085" "TSS1500;TSS1500;TSS200;5'UTR;5'UTR;TSS200" "" "" -1.08828426080574 -10.1882513558849 -3.24455395506668 0.00123082534547897 0.02006786579199 -1.21392865313189
"cg17168636" "chr1" 27115653 "+" "cg17168636" "chr1:27114118-27114692" "S_Shore" "PIGV" "NM_017837" "5'UTR" "1:27114185-27116471" "Promoter_Associated" -1.09050365542846 -9.08223964423879 -3.24412722102416 0.00123264392606978 0.0200843547060549 -1.2152450901068
"cg07718690" "chr19" 49436796 "-" "cg07718690" "chr19:49436695-49437055" "Island" "DHDH" "NM_014475" "TSS200" "19:49436217-49437247" "Promoter_Associated" -1.2420955538507 -10.0592029799731 -3.24367271820571 0.00123458358122324 0.0201080513761927 -1.21664700658964
"cg17143565" "chr17" 33569990 "-" "cg17143565" "chr17:33569141-33570527" "Island" "SLFN5" "NM_144975" "TSS200" "17:33568968-33570421" "Promoter_Associated" -1.12152913680979 -9.47617587971887 -3.23733927063997 0.00126190803046254 0.0204294197626553 -1.23616273209549
"cg27090201" "chr5" 134914717 "+" "cg27090201" "chr5:134914178-134914981" "Island" "CXCL14;CXCL14" "NM_004887;NM_004887" "5'UTR;1stExon" "" "" -0.577947612044511 -5.53405881870925 -3.23723550333412 0.00126236033767466 0.0204351453717427 -1.23648216994297
"cg09849215" "chr11" 82904768 "-" "cg09849215" "chr11:82904478-82905660" "Island" "ANKRD42" "NM_182603" "TSS1500" "11:82904006-82905884" "Unclassified" -1.20698252229727 -11.131298183455 -3.2369210018867 0.00126373212198495 0.0204468991171254 -1.23745027225466
"cg23901063" "chr10" 62704070 "+" "cg23901063" "chr10:62703307-62704290" "Island" "RHOBTB1;RHOBTB1;RHOBTB1;RHOBTB1" "NR_024555;NM_014836;NR_024554;NR_024556" "Body;TSS200;Body;TSS200" "" "" -1.15776659058673 -9.68162142491434 -3.23301770362808 0.0012808725932662 0.0206452884223824 -1.24945785936636
"cg19524774" "chr3" 121264849 "+" "cg19524774" "chr3:121264469-121264943" "Island" "POLQ;POLQ" "NM_199420;NM_199420" "1stExon;5'UTR" "3:121264057-121265948" "Promoter_Associated" -1.24975063248337 -9.38124684778709 -3.2317865249912 0.00128632349534976 0.0207105880468933 -1.25324237712024
"cg02484744" "chr2" 232329245 "-" "cg02484744" "chr2:232328445-232330149" "Island" "NCL" "NM_005381" "TSS200" "2:232328860-232329819" "Promoter_Associated" -0.73635962305087 -7.1375469375036 -3.22754004544651 0.00130528935375071 0.0209264995282307 -1.26628489091465
"cg19006604" "chr15" 42349378 "-" "cg19006604" "" "OpenSea" "" "" "" "15:42348700-42350404" "Unclassified" -0.956584258246455 -8.925312173569 -3.22737531211776 0.00130603027924955 0.0209343279698365 -1.26679051278519
"cg24119085" "chr1" 45476986 "-" "cg24119085" "chr1:45476225-45477022" "Island" "HECTD3;UROD;HECTD3" "NM_024602;NM_000374;NM_024602" "1stExon;TSS1500;5'UTR" "1:45476835-45477344" "Promoter_Associated" -1.10019039558031 -9.04770655829963 -3.22584189815731 0.00131294584092715 0.0210196532182413 -1.2714958733169
"cg18225905" "chr20" 20033020 "+" "cg18225905" "chr20:20032740-20033471" "Island" "CRNKL1;C20orf26" "NM_016652;NM_015585" "Body;TSS200" "20:20032572-20033793" "Promoter_Associated" -1.08122870813671 -9.49778083448019 -3.2244867659995 0.00131908553741915 0.0210881146728205 -1.27565236063343
"cg20736065" "chr17" 55334276 "+" "cg20736065" "chr17:55333068-55334245" "S_Shore" "MSI2;MSI2" "NM_138962;NM_170721" "Body;TSS200" "" "" -1.06888137807371 -8.62659638957248 -3.22121131577516 0.00133403541865485 0.0212647596321133 -1.28569188520587
"cg25781121" "chr3" 48282641 "-" "cg25781121" "chr3:48282425-48282817" "Island" "ZNF589;ZNF589" "NM_016089;NM_016089" "1stExon;5'UTR" "3:48282109-48283092" "Promoter_Associated" -1.00039237103912 -9.73130023423776 -3.22098903492763 0.00133505561244641 0.0212761105070102 -1.28637283550871
"cg20603557" "chr6" 33281576 "+" "cg20603557" "chr6:33281112-33281827" "Island" "TAPBP;TAPBP;TAPBP" "NM_172209;NM_003190;NM_172208" "Body;Body;Body" "6:33281430-33282741" "Promoter_Associated" 0.629517801536588 -6.39758671521699 3.22076092795514 0.00133610329606945 0.0212887127738173 -1.28707158654705
"cg10376058" "chr1" 36690068 "-" "cg10376058" "chr1:36689759-36690087" "Island" "THRAP3;THRAP3" "NM_005119;NM_005119" "1stExon;5'UTR" "1:36688869-36690848" "Unclassified" -1.2080491784363 -9.51383549071013 -3.22031754996417 0.00133814188342129 0.0213048086759758 -1.28842963135562
"cg14180916" "chr1" 43390395 "-" "cg14180916" "chr1:43389835-43390551" "Island" "" "" "" "1:43389866-43390434" "Promoter_Associated" -1.11221593170836 -10.6204628595993 -3.21979797865219 0.00134053445578894 0.0213272216244781 -1.29002082162791
"cg09370599" "chr11" 61685186 "+" "cg09370599" "chr11:61684591-61685216" "Island" "RAB3IL1" "NM_013401" "TSS200" "11:61684641-61685519" "Unclassified_Cell_type_specific" -1.27359078780173 -11.6064589039616 -3.21825553398995 0.00134766057233445 0.0214145225663332 -1.29474309981561
"cg12042587" "chr5" 42423947 "-" "cg12042587" "chr5:42424338-42425047" "N_Shore" "GHR" "NM_000163" "TSS200" "" "" -0.889860690534539 -8.3976250888808 -3.21682865189484 0.00135428395438197 0.0214896105970459 -1.29910962146045
"cg05258935" "chr19" 39086923 "+" "cg05258935" "chr19:39086878-39087304" "Island" "MAP4K1;MAP4K1" "NM_001042600;NM_007181" "Body;Body" "" "" 0.579305449700476 -4.13508737082196 3.21635812685478 0.00135647465303049 0.0215123712935038 -1.3005491025629
"cg08984686" "chr6" 33267143 "+" "cg08984686" "chr6:33266302-33267582" "Island" "RGL2;RGL2;RGL2" "NM_004761;NR_028387;NM_004761" "5'UTR;Body;1stExon" "6:33266502-33267964" "Promoter_Associated" -1.14787829952334 -10.6805991052142 -3.21400637065497 0.0013674732849667 0.021634356281928 -1.30774078597345
"cg06008470" "chr6" 70577198 "+" "cg06008470" "chr6:70576974-70577572" "Island" "COL19A1" "NM_001858" "5'UTR" "" "" -1.13892563722245 -9.7794572985563 -3.21181992053955 0.00137777270055812 0.0217510648253133 -1.3144223823369
"cg26287612" "chr6" 31870106 "+" "cg26287612" "chr6:31868781-31870311" "Island" "ZBTB12" "NM_181842" "TSS1500" "6:31869102-31870991" "Promoter_Associated" -1.29500235650572 -10.5812506378251 -3.21093556638538 0.00138195883427875 0.0218021988989536 -1.31712363609758
"cg06461811" "chr16" 2097673 "+" "cg06461811" "chr16:2097465-2098365" "Island" "TSC2;NTHL1;TSC2;TSC2" "NM_001077183;NM_002528;NM_000548;NM_001114382" "TSS1500;Body;TSS1500;TSS1500" "16:2097144-2098704" "Promoter_Associated" -1.01498540256443 -8.711454788555 -3.20985375245755 0.00138709563689155 0.0218565895226509 -1.32042704750012
"cg20172957" "chr6" 44355135 "+" "cg20172957" "chr6:44355156-44355778" "N_Shore" "CDC5L" "NM_001253" "TSS200" "6:44354612-44356291" "Promoter_Associated" -1.20535413913696 -9.72959254302477 -3.20940254470228 0.0013892433271557 0.0218754743081519 -1.32180452967127
